"Record Number","Record Type","Licensee Name","Address","Expiration Date","Status","Home Delivery","Disciplinary Action",
"ERG-002773","Entity Prequalification","Hikers, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002749","Entity Prequalification","BPMD Realty LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002807","Entity Prequalification","Aries Analytic L.L.C.",,"12/31/2099","Active - Main Applicant",,,
"ERG-002795","Entity Prequalification","High Haven Retail LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000544","Provisioning Center - License","Luxury Loud Detroit","2520 22nd ST, Detroit MI 48216","09/02/2023","Active","Approved",,
"GR-C-000293","Class C Grower – License","Apollo Organics, Inc.","1401 E Stewart AVE, Flint MI 48505","12/08/2022","Closed",,,
"PC-000541","Provisioning Center - License","The WellFlower","217 Maple ST, Big Rapids MI 49307","12/08/2021","Closed",,,
"PR-000159","Processor - License","Symponia Farms Inc.","1140 Harmonia RD, Battle Creek MI 49037","07/29/2022","Closed",,,
"PR-000118","Processor - License","MEM Gardens LLC","346 Logan ST, Adrian MI 49221","10/08/2023","Active",,,
"GR-C-000616","Class C Grower – License","Common Citizen","11300 17 Mile RD, Marshall MI 49068","02/04/2024","Active",,"Public Documents Available",
"GR-C-000615","Class C Grower – License","Common Citizen","11300 17 Mile RD, Marshall MI 49068","02/04/2024","Active",,"Public Documents Available",
"ERG-002664","Entity Prequalification","Sunshine Pharms, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002827","Entity Prequalification","Securecann III, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002875","Entity Prequalification","IVP Holding, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002885","Entity Prequalification","Kenney Pros, LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000540","Provisioning Center - License","Cannavibes Emporium","1135 W Dickman RD, Battle Creek MI 49037","12/07/2023","Active",,"Public Documents Available",
"PR-000176","Processor - License","Berry Green Management Inc","1356 Imlay City RD, Lapeer MI 48446","12/07/2023","Active",,"Public Documents Available",
"GR-C-000569","Class C Grower – License","Karvol Enterprises, LLC","2199 N. Concord RD Suite 2, Albion MI 49224","12/07/2021","Closed",,,
"ERG-002840","Entity Prequalification","Tip Top Crop LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002835","Entity Prequalification","Select Tops LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000527","Provisioning Center - License","EZ Medz","9359 N. Dort HWY, Mt. Morris MI 48458","12/04/2023","Active","Approved","Public Documents Available",
"PC-000534","Provisioning Center - License","Premier Provisioning Center, LLC","1023 East Caro RD, Caro MI 48723","12/04/2023","Active","Approved","Public Documents Available",
"ERG-002745","Entity Prequalification","The Twisted Sista, LLC",,"12/29/2023","Active - Main Applicant",,,
"GR-C-000611","Class C Grower – License","MNS Stephens Ventures, LLC","13159 Stephens Rd, Warren MI 48089","10/08/2021","Closed",,,
"GR-C-000402","Class C Grower – License","Hytek Cultivation","12651 Stout ST, Detroit MI 48223","04/25/2023","Active",,"Public Documents Available",
"ERG-002811","Entity Prequalification","The Remedy Detroit LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-A-000056","Class A Grower – License","Green Mitten Pharms, LLC","2761 M-61, Bentley MI 48613","12/02/2022","Closed",,,
"ERG-002642","Entity Prequalification","Magna Health Management, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002806","Entity Prequalification","Level Up Investments II, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002801","Entity Prequalification","Level Up Investments I, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-A-000107","Class A Grower – License","OTEAL2 LLC","1401 N Johnson ST Unit 1, Bay City MI 48708","12/02/2023","Active",,"Public Documents Available",
"PC-000511","Provisioning Center - License","Dr. A's Re-Leaf Center - Cannabis Merchant","26324 US-12, Edwardsburg MI 49112","02/21/2024","Active",,"Public Documents Available",
"ERG-002761","Entity Prequalification","Star Budz Provisioning Center LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000529","Provisioning Center - License","Glazed and Confused","2465 US 2 S HWY, Crystal Falls MI 49920","11/25/2022","Closed",,,
"PC-000538","Provisioning Center - License","Gage Cannabis Company","3075 Peregrine Dr. NE, Grand Rapids MI 49505","07/30/2023","Active","Approved",,
"PR-000162","Processor - License","8 Mile Brands","871 E 8 Mile RD, Hazel Park MI 48030","11/26/2023","Active",,"Public Documents Available",
"ERG-002018","Entity Prequalification","MPP Services, LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000546","Provisioning Center - License","Lume Cannabis Co.","1512 N West AVE, Jackson MI 49202","03/21/2023","Closed","Approved",,
"ERG-002793","Entity Prequalification","Royal Highness PC3 LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002794","Entity Prequalification","ET4 Corp",,"12/31/2099","Active - Main Applicant",,,
"PC-000547","Provisioning Center - License","Green Bean Company, Inc.","1625 W Atherton RD, Flint MI 48507","11/21/2023","Active",,,
"ERG-002770","Entity Prequalification","Constantine Products LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000539","Provisioning Center - License","The Green House Provisioning","897 North AVE, Battle Creek MI 49017","11/19/2021","Closed","Approved",,
"PC-000536","Provisioning Center - License","The Woods Cheboygan","123 E. State ST, Cheboygan MI 49721","04/21/2022","Closed","Approved",,
"GR-C-000474","Class C Grower – License","Pegasus Green, LCC","4100 Ann Arbor RD, Jackson MI 49202","11/18/2021","Closed",,"Public Documents Available",
"GR-A-000130","Class A Grower – License","Fraser Cultivation Group, LLC","3966 Fraser RD, Pinconning MI 48650","11/17/2023","Active",,,
"PR-000087","Processor - License","Terrapin MI","2055 Oak Industrial NE DR, Grand Rapids MI 49505","03/25/2023","Closed",,"Public Documents Available",
"PC-000466","Provisioning Center - License","Olswell - Grand Rapids","1940 28th Street SE, Grand Rapids MI 49508","11/17/2022","Closed",,"Public Documents Available",
"GR-C-000606","Class C Grower – License","DKB2, LLC","32900 Dequindre RD Suite B, Warren MI 48092","11/12/2022","Closed",,,
"ERG-002731","Entity Prequalification","RSD of Michigan, Inc.",,"12/31/2099","Active - Main Applicant",,,
"GR-C-000594","Class C Grower – License","Leela Herb Company","406 S. Park DR, Kalkaska MI 49646","11/16/2023","Active",,"Public Documents Available",
"ERG-002920","Entity Prequalification","Green Bean Company, Inc.",,"12/31/2099","Active - Main Applicant",,,
"GR-C-000605","Class C Grower – License","DKB2, LLC","32900 Dequindre RD Suite B, Warren MI 48092","11/12/2022","Closed",,,
"PC-000522","Provisioning Center - License","Exclusive Lapeer","111 West Genesee ST, Lapeer MI 48446","11/13/2023","Active","Approved","Public Documents Available",
"PC-000523","Provisioning Center - License","Lake Life Farms, Inc","208 South Michigan AVE, Big Rapids MI 49307","08/20/2022","Closed",,,
"PR-000157","Processor - License","Driven Grow, LLC","10925 Bruun TRL, Frederic MI 49733","03/21/2024","Active",,,
"GR-C-000587","Class C Grower – License","236 Culver, LLC","2846 Hercules CT, Fennville MI 49408","11/10/2021","Closed",,,
"GR-C-000604","Class C Grower – License","DKB2, LLC","32900 Dequindre RD Suite B, Warren MI 48092","11/12/2022","Closed",,,
"PC-000203","Provisioning Center - License","Chronic City, LLC","6810 East McNichols RD, Detroit MI 48212","11/11/2022","Closed",,"Public Documents Available",
"GR-C-000568","Class C Grower – License","Hongrui Enterprises Inc.","1100 Industrial BLVD, Albion MI 49224","11/10/2022","Active - Late Renewal",,"Public Documents Available",
"GR-C-000567","Class C Grower – License","Hongrui Enterprises Inc.","1100 Industrial BLVD, Albion MI 49224","11/10/2022","Active - Late Renewal",,"Public Documents Available",
"GR-C-000566","Class C Grower – License","Hongrui Enterprises Inc.","1100 Industrial BLVD, Albion MI 49224","11/10/2022","Active - Late Renewal",,"Public Documents Available",
"GR-C-000565","Class C Grower – License","Hongrui Enterprises Inc.","1100 Industrial BLVD, Albion MI 49224","11/10/2022","Active - Late Renewal",,"Public Documents Available",
"GR-C-000602","Class C Grower – License","Michigrown","351 W Laketon AVE, Muskegon MI 49441","11/10/2023","Active",,"Public Documents Available",
"ERG-002769","Entity Prequalification","ABC 123 Business Ventures, LLC",,"12/05/2023","Active - Main Applicant",,,
"ERG-002767","Entity Prequalification","Level Up Holdings IV, LLC",,"12/31/2099","Active - Main Applicant",,,
"PR-000156","Processor - License","Green Sprout Labs LLC","737 Industrial Park DR Suite A, Bangor MI 49013","11/09/2022","Closed",,,
"GR-A-000131","Class A Grower – License","Green Sprout Grow LLC","737 Industrial Park DR Suite B, Bangor MI 49013","11/09/2022","Closed",,,
"PC-000498","Provisioning Center - License","Stone Depot Exceptional Cannabis","3435 East Michigan AVE, Jackson MI 49202","11/09/2022","Closed","Approved","Public Documents Available",
"GR-B-000019","Class B Grower – License","Holland Farms, LLC","560 E Huron RD, Omer MI 48749","11/06/2023","Active",,"Public Documents Available",
"PR-000049","Processor - License","LivWell Enlightened Health","21550 Hoover RD, Warren MI 48089","07/02/2023","Active",,"Public Documents Available",
"ERG-002556","Entity Prequalification","MI Matador LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000531","Provisioning Center - License","Skymint","3315 Coolidge RD, East Lansing MI 48823","10/18/2023","Active",,,
"ERG-002720","Entity Prequalification","Emerald Bay Provisionary, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002778","Entity Prequalification","1167 Frances LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-A-000114","Class A Grower – License","Urbn Leaf","1678 E Grand BLVD, Detroit MI 48211","11/04/2021","Closed",,,
"GR-C-000586","Class C Grower – License","WaHa Premier, LLC","9139 Watson RD, Hanover MI 49241","11/04/2023","Active",,,
"PC-000437","Provisioning Center - License","Michiganja","230 North Charles ST, White Cloud MI 49349","11/03/2022","Closed","Approved",,
"PR-000170","Processor - License","Total Health Processing, LLC","3055 East Bristol RD, Burton MI 48529","11/02/2023","Active",,,
"ERG-002681","Entity Prequalification","MI Secured Transport LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-000596","Class C Grower – License","Hammon Tree Growers, LLC","515 Hammontree DR, Morenci MI 49256","11/02/2023","Active",,,
"GR-C-000589","Class C Grower – License","Elysium Cultivation","24250 Mound RD, Warren MI 48091","10/30/2022","Closed",,,
"PR-000154","Processor - License","DNVK 5, LLC","32660 Dequindre, Warren MI 48092","10/30/2023","Active",,"Public Documents Available",
"GR-C-000448","Class C Grower – License","Green Eden, LLC","4525 Quality CT, Portage MI 49002","10/26/2021","Closed",,,
"GR-A-000142","Class A Grower – License","MIMM, LLC","300 Elm ST, Kalkaska MI 49646","10/29/2021","Closed",,,
"GR-C-000570","Class C Grower – License","WPL Industries, LLC","1201 E. Beecher ST, Adrian MI 49221","10/29/2023","Active",,"Public Documents Available",
"GR-C-000550","Class C Grower – License","Green Mitten Agricultural Corporation","34041 County Road 681, Bangor MI 49013","06/25/2023","Active",,,
"PC-000521","Provisioning Center - License","Xplore Cannabis Company","824 S. Main ST, Lapeer MI 48446","10/28/2023","Active",,,
"PC-000495","Provisioning Center - License","Sunnies","1410 North Eaton ST, Albion MI 49224","10/28/2023","Active","Approved","Public Documents Available",
"ERG-002725","Entity Prequalification","Wolverine-Buckeye Enterprises, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-000579","Class C Grower – License","Franklin Fields","3535 Capital City BLVD, Lansing MI 48906","10/27/2022","Closed",,,
"PC-000528","Provisioning Center - License","Authentic 231","74 Arthur ST, Manistee MI 49660","08/31/2022","Closed","Approved","Public Documents Available",
"PR-000172","Processor - License","SBCMI LLC","456 W 8 Mile RD, Hazel Park MI 48030","10/26/2023","Active",,,
"PC-000247","Provisioning Center - License","Jars Cannabis Mount Pleasant","1005 Corporate DR Suite B, Mt Pleasant MI 48858","08/29/2022","Closed","Approved","Public Documents Available",
"ERG-002695","Entity Prequalification","Emerald Thumb LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000433","Provisioning Center - License","Gage Cannabis Company","48 Main ST, Battle Creek MI 49014","07/18/2023","Active","Approved",,
"GR-C-000509","Class C Grower – License","Great Lakes Aqua Culture, LLC","4880 126th AVE, Fennville MI 49408","10/19/2022","Closed",,,
"PC-000525","Provisioning Center - License","Treehouse 603","603 E William ST, Ann Arbor MI 48104","10/22/2022","Closed","Approved","Public Documents Available",
"PC-000506","Provisioning Center - License","Only By Nature, LLC","103 N Ontario ST, DeTour Village MI 49725","10/22/2023","Active","Approved","Public Documents Available",
"PR-000152","Processor - License","Hayat Quality Provisioning I, Inc.","523 West 9 Mile RD Suite B, Hazel Park MI 48030","10/07/2023","Active",,"Public Documents Available",
"GR-A-000143","Class A Grower – License","NMR 1, LLC","2112 Industrial DR, Niles MI 49120","10/22/2021","Closed",,,
"GR-C-000573","Class C Grower – License","Leaf and Bud","14470 Livernois AVE Suite D, Detroit MI 48238","10/02/2023","Active",,"Public Documents Available",
"PC-000488","Provisioning Center - License","Consume","528 Warwick DR, Alma MI 48801","05/28/2023","Active","Approved",,
"GR-C-000572","Class C Grower – License","Leaf and Bud","14470 Livernois AVE Suite D, Detroit MI 48238","10/02/2022","Closed",,"Public Documents Available",
"ST-000057","Secure Transporter - License","DRS Choice Transport, LLC","4700 N Huron RD Unit 7, Pinconning MI 48650","10/19/2023","Active",,,
"PR-000167","Processor - License","Gage Cannabis Company","41455 Production DR, Harrison Township MI 48045","07/30/2023","Active",,,
"GR-B-000020","Class B Grower – License","Evolution Grow Company","1060 River Road West, Battle Creek MI 49037","10/20/2023","Active",,,
"GR-C-000585","Class C Grower – License","Adrian Elite Cultivation, LLC","1060 Railroad AVE, Adrian MI 49221","10/19/2022","Closed",,"Public Documents Available",
"GR-C-000584","Class C Grower – License","Adrian Elite Cultivation, LLC","1060 Railroad AVE, Adrian MI 49221","10/19/2022","Closed",,"Public Documents Available",
"ERG-002641","Entity Prequalification","Main & Depot, LLC",,"08/16/2023","Active - Main Applicant",,,
"SC-000022","Safety Compliance - License","Puer Labs","24545 Forterra DR, Warren MI 48089","10/15/2023","Active",,,
"GR-C-000574","Class C Grower – License","Wheelhouse Growers, LLC","19832 E North Caribou Lake RD, Detour MI 49725","10/15/2022","Closed",,"Public Documents Available",
"ST-000059","Secure Transporter - License","Lake Effects Logistics LLC","12261 Cleveland ST Suite E, Nunica MI 49448","10/14/2023","Active",,"Public Documents Available",
"PC-000519","Provisioning Center - License","Hyde Holdings","8052 E 8 Mile RD, Detroit MI 48234","10/14/2023","Active","Approved","Public Documents Available",
"PC-000513","Provisioning Center - License","The Botanical Co.","3535 Capital City BLVD, Lansing MI 48906","10/14/2023","Active",,,
"PC-000476","Provisioning Center - License","The Pure Lapeer, LLC","224 E. Center ST, Alma MI 48801","06/06/2021","Closed",,"Public Documents Available",
"GR-A-000137","Class A Grower – License","Malmedy LLC","23227 Schoenherr RD, Warren MI 48089","10/13/2023","Active",,"Public Documents Available",
"ERG-002687","Entity Prequalification","1st Choice Labs LLC",,"01/10/2024","Active - Main Applicant",,,
"PR-000128","Processor - License","Canna Bee Extracts LLC","741 Brady ST, Chesaning MI 48616","10/12/2023","Active",,,
"ERG-002700","Entity Prequalification","Candid, Inc.",,"12/31/2099","Active - Main Applicant",,,
"ERG-002708","Entity Prequalification","Pink Dragon, LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000509","Provisioning Center - License","Consume of Harrisville","305 N State Street, Harrisville MI 48740","10/09/2023","Active","Approved",,
"PC-000517","Provisioning Center - License","Your Buds","877 E 8 Mile RD, Hazel Park MI 48030","10/07/2023","Active","Approved",,
"PC-000505","Provisioning Center - License","Spark Cannabis Company","1345 Prospect AVE, Caro MI 48723","10/09/2023","Active",,,
"GR-A-000139","Class A Grower – License","Green Harvest Farms","1900 West Main ST, Ionia MI 48846","10/09/2023","Active",,,
"GR-C-000099","Class C Grower – License","Green Labs, LLC","9623 Skyline Industrial DR, Morenci MI 49256","10/08/2023","Active",,"Public Documents Available",
"GR-C-000561","Class C Grower – License","MNS Stephens Ventures LLC","13159 Stephens, Warren MI 48089","10/08/2023","Active",,"Public Documents Available",
"GR-C-000435","Class C Grower – License","MEM Gardens LLC","346 Logan ST, Adrian MI 49221","10/08/2023","Active",,,
"GR-A-000136","Class A Grower – License","CCG Holdings Group, LLC","3049 South Dog Track RD, Baldwin MI 49304","10/07/2021","Closed",,"Public Documents Available",
"PC-000514","Provisioning Center - License","High Profile Boutique Cannabis","2301 44th SE ST Unit 2317, 2321, Grand Rapids MI 49508","10/07/2022","Closed","Approved",,
"ST-000058","Secure Transporter - License","GSTM, LLC","25600 Henry B Joy BLVD, Harrison Township MI 48045","10/06/2023","Active",,"Public Documents Available",
"GR-C-000552","Class C Grower – License","Hayat Quality Provisioning I, Inc.","523 West 9 Mile RD Suite A, Hazel Park MI 48030","10/07/2023","Active",,"Public Documents Available",
"GR-C-000551","Class C Grower – License","Hayat Quality Provisioning I, Inc.","523 West 9 Mile RD Suite A, Hazel Park MI 48030","10/07/2023","Active",,"Public Documents Available",
"GR-C-000553","Class C Grower – License","Hayat Quality Provisioning I, Inc.","523 West 9 Mile RD Suite A, Hazel Park MI 48030","10/07/2023","Active",,"Public Documents Available",
"PC-000034","Provisioning Center - License","Stay Lifted","1291 Falahee RD, Jackson MI 49203","10/05/2023","Active",,,
"PC-000194","Provisioning Center - License","Planted Provisioning","1960 W Hemphill RD, Flint MI 48507","10/05/2023","Active","Approved",,
"PC-000510","Provisioning Center - License","CANNABAY","1321 N Sherman ST, Bay City MI 48708","10/02/2021","Closed","Approved",,
"GR-C-000571","Class C Grower – License","Armistice","9286 N Saginaw RD, Mount Morris MI 48458","10/02/2022","Closed",,"Public Documents Available",
"GR-C-000563","Class C Grower – License","Leaf and Bud","14470 Livernois AVE Suite D, Detroit MI 48238","10/02/2022","Closed",,"Public Documents Available",
"PR-000158","Processor - License","BR Laboratory of Chesaning, LLC","795 Eden WAY Suite B, Chesaning MI 48616","10/02/2022","Closed",,"Public Documents Available",
"GR-C-000582","Class C Grower – License","Gage Cannabis Company","391 Midland RD, Bay City MI 48706","07/30/2023","Active",,,
"GR-C-000581","Class C Grower – License","Gage Cannabis Company","391 Midland RD, Bay City MI 48706","07/30/2023","Active",,,
"GR-C-000580","Class C Grower – License","Gage Cannabis Company","391 Midland RD, Bay City MI 48706","07/30/2023","Active",,,
"GR-C-000482","Class C Grower – License","Harbor Country Cannabis","17817 Nye RD, Galien MI 49113","10/02/2023","Active",,"Public Documents Available",
"GR-C-000281","Class C Grower – License","Regency Specialties Inc.","23685 Regency PARK, Warren MI 48089","10/01/2022","Closed",,,
"ERG-002677","Entity Prequalification","Absolute Royale, Inc.",,"12/31/2099","Active - Main Applicant",,,
"GR-A-000113","Class A Grower – License","Foose N Frog, LLC","40739 Irwin DR, Harrison Township MI 48045","09/30/2023","Active",,"Public Documents Available",
"ERG-002636","Entity Prequalification","Berry Green Management Inc",,"12/31/2099","Active - Main Applicant",,,
"ERG-002715","Entity Prequalification","Humble Roots, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-A-000106","Class A Grower – License","True Organics, LLC","52785 County Road 384, Grand Junction MI 49056","09/28/2022","Closed",,,
"ERG-002610","Entity Prequalification","Craft Hydroponic  LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-C-000132","Class C Grower – License","HG Lansing, LLC","1202 E Oakland AVE, Lansing MI 48906","01/04/2021","Closed",,,
"PR-000047","Processor - License","Waypoint Industries","54341 M43 HWY, Bangor MI 49013","06/14/2023","Active",,"Public Documents Available",
"PR-000146","Processor - License","Redbud Roots Lab IV, LLC","455 Post RD, Buchanan MI 49107","12/07/2023","Active",,,
"PC-000515","Provisioning Center - License","Rair","3772 Wilder RD, Bay City MI 48706","10/08/2022","Closed","Approved","Public Documents Available",
"ERG-000104","Entity Prequalification","JC3, LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000508","Provisioning Center - License","Jars Cannabis River Rouge","11347 W Jefferson AVE, River Rouge MI 48218","09/23/2023","Active","Approved",,
"GR-A-000127","Class A Grower – License","Swift Cultivation, L.L.C.","2105 N Burdick ST, Kalamazoo MI 49007","09/22/2021","Closed",,,
"PC-000310","Provisioning Center - License","Pure Canna Michigan","5829 Executive DR Suite A, Lansing MI 48911","09/18/2023","Active",,,
"GR-C-000424","Class C Grower – License","AMEDMA","1250 Commerce DR, Farwell MI 48622","09/18/2022","Closed",,,
"GR-C-000562","Class C Grower – License","City Farm Warren, LLC","14401 Frazho RD, Warren MI 48089","05/28/2023","Active",,"Public Documents Available",
"ERG-002254","Entity Prequalification","MPM-P Marshall LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002497","Entity Prequalification","D&G Legacy Properties, LLC",,"02/15/2024","Active - Main Applicant",,,
"ERG-002255","Entity Prequalification","MPM-R Lansing LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002671","Entity Prequalification","Viridian Labs, LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000503","Provisioning Center - License","Ascend Cannabis Group","2741 28th ST, Grand Rapids MI 49546","07/29/2023","Active","Approved","Public Documents Available",
"ERG-002257","Entity Prequalification","MPM-R Hazel Park LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-A-000138","Class A Grower – License","Hazy Farms","2642 Princess ST, Inkster MI 48141","09/11/2022","Closed",,,
"ERG-002388","Entity Prequalification","MLL William, Inc.",,"12/22/2023","Active - Main Applicant",,,
"PC-000504","Provisioning Center - License","KMG Ventures, LLC","775 S. Huron RD Suite A, Linwood MI 48634","09/10/2021","Closed",,,
"PR-000160","Processor - License","MEDIQ Laboratories","775 S. Huron RD Suite B, Linwood MI 48634","09/10/2023","Active",,"Public Documents Available",
"GR-C-000445","Class C Grower – License","NOBO Michigan LLC","900 Alreco RD, Benton Harbor MI 49022","06/02/2022","Closed",,,
"GR-A-000128","Class A Grower – License","Session Farms LLC","801 McKinch DR, Saranac MI 48881","09/04/2023","Active",,,
"GR-C-000451","Class C Grower – License","NOBO Michigan LLC","900 Alreco RD, Benton Harbor MI 49022","06/02/2023","Active",,,
"GR-C-000543","Class C Grower – License","Pure, LLC","825 E Crosstown PKWY, Kalamazoo MI 49001","09/03/2022","Closed",,"Public Documents Available",
"PC-000502","Provisioning Center - License","Green Bronco II, LLC","5747 S Westnedge AVE, Portage MI 49002","09/02/2022","Closed",,,
"PC-000477","Provisioning Center - License","7Engines","1101 East Front ST, Buchanan MI 49107","09/02/2023","Active",,"Public Documents Available",
"GR-C-000114","Class C Grower – License","Agronomos, LLC","2520 22nd ST, Detroit MI 48216","09/02/2022","Closed",,,
"GR-A-000094","Class A Grower – License","Lake State Canna Company","1125 Case ST, Lansing MI 48906","09/02/2022","Closed",,,
"ERG-002601","Entity Prequalification","SDG Ventures, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002590","Entity Prequalification","High Top Buds, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002591","Entity Prequalification","Bud Express, LLC",,"12/31/2099","Active - Main Applicant",,,
"PR-000150","Processor - License","Authentic 231","5130 Collins RD Bldg C, Manistee MI 49660","08/31/2023","Active",,"Public Documents Available",
"ERG-002603","Entity Prequalification","Northern Fire, Inc.",,"12/31/2099","Active - Main Applicant",,,
"PC-000501","Provisioning Center - License","Gatsby Cannabis of Portage","2401 E Milham AVE, Portage MI 49002","08/19/2022","Closed","Approved",,
"ERG-002607","Entity Prequalification","EGC Processing LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-A-000135","Class A Grower – License","Diamond Cut Farms","3208 Patterson RD, Bay City MI 48706","08/27/2022","Closed",,,
"ERG-002517","Entity Prequalification","Groesbeck Pros, Inc.",,"12/31/2099","Active - Main Applicant",,,
"ERG-002644","Entity Prequalification","Cam Club LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002542","Entity Prequalification","Atwater Management, LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000481","Provisioning Center - License","Cloud Cannabis Company","1760 Plymouth RD, Ann Arbor MI 48105","08/26/2022","Closed","approved","Public Documents Available",
"GR-B-000018","Class B Grower – License","Premier Grow","12747 Stout ST, Detroit MI 48223","08/26/2023","Active",,"Public Documents Available",
"ERG-002595","Entity Prequalification","TOMTOM LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002485","Entity Prequalification","Vibe Consulting, LLC",,"12/31/2099","Active - Main Applicant",,,
"ERG-002499","Entity Prequalification","GP Holdings, LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-B-000011","Class B Grower – License","Heavenly Harvest Cultivators, Inc.","28868 94th AVE, Marcellus MI 49067","08/25/2021","Closed",,,
"PC-000328","Provisioning Center - License","Fire Creek","846 E. Columbia AVE, Battle Creek MI 49014","08/24/2022","Closed",,"Public Documents Available",
"GR-A-000026","Class A Grower – License","CannaSelect","20349 Waldo RD, Chelsea MI 48118","08/24/2023","Active",,"Public Documents Available",
"PC-000497","Provisioning Center - License","Burton Cannabis Company","3365 Associates DR, Burton MI 48529","08/21/2023","Active","Approved",,
"GR-C-000434","Class C Grower – License","Thumb Genetics, LLC","2110 S Washington AVE Suite 57E, Lansing MI 48910","08/20/2022","Closed",,"Public Documents Available",
"GR-C-000373","Class C Grower – License","Lake Life Farms, Inc","10350 Harvest Park RD Suite B, Dimondale MI 48821","08/20/2023","Active",,,
"PC-000500","Provisioning Center - License","Mint Cannabis","730 E Cork ST, Kalamazoo MI 49001","08/19/2021","Closed",,,
"GR-C-000515","Class C Grower – License","Jade Collection of Morenci","9081 Skyline Industrial DR, Morenci MI 49256","08/18/2023","Active",,,
"ERG-002427","Entity Prequalification","Shiv Leela, LLC",,"12/31/2099","Active - Main Applicant",,,
"PC-000435","Provisioning Center - License","Timber Cannabis Co.","313 W. Laketon AVE, Muskegon MI 49441","08/18/2022","Closed","Approved",,
"ERG-002579","Entity Prequalification","Faded Acres LLC",,"12/31/2099","Active - Main Applicant",,,
"GR-A-000120","Class A Grower – License","Old 27 Buds Etc., LLC","292 Spires PKWY, Tekonsha MI 49092","08/17/2021","Closed",,,
"PC-000482","Provisioning Center - License","The Botanist Michigan","8287 Southfield FWY, Detroit MI 48228","08/12/2022","Closed",,"Public Documents Available",
"SC-000021","Safety Compliance - License","Oxford Natural Labs","4433 Manchester RD Suite B, Kalamazoo MI 49001","08/12/2022","Closed",,"Public Documents Available",
"PC-000478","Provisioning Center - License","The Hempire Collective","10143 N Loomis RD, Clare MI 48617","11/25/2023","Active","Approved",,
"GR-C-000554","Class C Grower – License","Freedom Green Farms, LLC","1689 Enterprise DR, Kalkaska MI 49646","08/13/2022","Closed",,"Public Documents Available",
"GR-C-000475","Class C Grower – License","Gage Cannabis Company","391 Midland RD, Bay City MI 48706","07/30/2023","Active",,,
"PC-000374","Provisioning Center - License","Herbology","314 Munson AVE, Traverse City MI 49686","03/21/2023","Closed",,,
"ERG-002619","Entity Prequalification","Thunder Bay Provisioning LLC",,"12/05/2023","Active - Main Applicant",,,
"PC-000486","Provisioning Center - License","Green Pharm Kalkaska","764 S Cedar ST, Kalkaska MI 49646","04/21/2024","Active","Approved","Public Documents Available",
"GR-A-000071","Class A Grower – License","Holy Smokes Farms","2150 Apollo DR, Lansing MI 48906","08/11/2021","Closed",,,
"GR-C-000542","Class C Grower – License","Moneylineholdings Limited LLC","651 Eden WAY, Chesaning MI 48616","08/11/2023","Active",,,
"PC-000496","Provisioning Center - License","Dacut","12668 Gratiot, Detroit MI 48205","08/11/2023","Active","Approved","Public Documents Available",
"ERG-002649","Entity Prequalification","Hammon Tree Growers, LLC",,"12/31/2099","Active - Main Applicant",,,
"PR-000149","Processor - License","Sugarleaf SL, LLC","21445 Hoover RD Suite 302, Warren MI 48089","08/07/2021","Closed",,"Public Documents Available",
